H9,C,H9,3835,,,,,,,,,,3834.0155,,,,,,,,,
V I 5668-71,C,,,,,V I,5668-71,,,,,MK,5668.5,,,,,,,,,
,,,,,,,,,,,,AW,5682.939,,,,,,,,,
,,,,,,,,,,,,AW,5687.0869,,,,,,,,,
V I/Sc I/Cu I 5698-5700,C,,,,,,,,,V I/Sc I/Cu I,5698-5700,PK,5701.4526,,,,,,,,,
Fe I/Ni I 5709,B,,,,,Fe I/Ni I,5709,,,Ni I/Fe I,5710,PK,5709.5967,,,,,,,,,
V I 5731,C,,,,,V I,5731,,,,,,5730.193,,,,,,,,,
,,,,,,,,,,,,,5741.5127,,,,,,,,,
Fe I 5753,C,,,,,Fe I/Ti I,5753,,,Ni I/Fe I,5754,,5753.5729,,,,,,,,,
Fe I 5763,C,,,,,V I/Fe I,5761-63,,,Fe I,5763,,5761.7097,,,,,,,,,
V I/Si I 5772-77,C,,,,,V I/Si I,5772-77,,,,,MSK,5774.5,,,,,,,,,
,,,,,,Fe I/Cr I/V I,5783-85,,,Cu I/Cr I,5782-86,,5783.8007,,,,,,,,,
,,,,,,,,,,,,M,5798,,,,,,,,,
,,,,,,,,,,,,,5806.6887,,,,,,,,,
,,,,,,,,,,,,,5815.1719,,,,,,,,,
,,,,,,,,,,,,M,5825.5,,,,,,,,,
,,,,,,,,,,,,,5835.885,,,,,,,,,
,,,,,,,,,,,,,5856.9722,,,,,,,,,
Ti I 5866,C,,,,,Ti I,5866,,,,,MWK,5866,,,,,,,,,
Ti I/Fe I 5880,C,,,,,Ti I/Fe I,5880,,,,,MK,5881.5,,,,,,,,,
Na I 5890-96,A,Na I,5889.95,,,Na I,5889,,,Na I,5889.95,AW,5890.3413,,,,,,,,,
,,Na I,5895.92,,,Na I,5895,,,Na I,5895.92,AW,5895.6665,,,,,,,,,
,,,,,,,,,,,,AW,5915.3628,,,,,,,,,
Ti I 5919,C,,,,,Ti I,5918.5,,,,,AW,5918.7783,,,,,,,,,
,,,,,,,,,,,,M,5935,,,,,,,,,
Ti I 5942,C,,,,,Ti I,5941.7,,,,,,5942.8636,,,,,,,,,
