Fe I 5233,B,,,,,Fe I,5232.9,Fe I,5232.94,TP,5233.6797,,,,,,,,
Fe I 5250-51,C,,,,,,,Fe I,5250-51,M,5249.5,,,,,,,,
,,,,,,,,,,M,5253.5,,,,,,,,
Ca I/Cr I 562-64,C,,,,,Ca I/Cr I,5262-64,Ca I/Cr I/Fe I,5262-67,TSP,5264.4526,,,,,,,,
Fe I/Ca I 5267-70,C,,,,,Fe I/Ca I,5267-70,Ca I/Cr I/Fe I,5262-67,TSP,5267.1675,,,,,,,,
Fe I 5273,C,,,,,Fe I,5273,,,MWK,5273.5,,,,,,,,
Fe I 5282-84,B,,,,,Fe I,5282-84,Fe I,5282-84,M,5282.5,,,,,,,,
Cr I 5297-98,B,,,,,Cr I,5297-98,Cr I,5297-98,M,5297.5,,,,,,,,
Fe I 5302,C,,,,,Fe I,5302.3,,,M,5301.5,,,,,,,,
,,,,,,,,,,M,5306,,,,,,,,
Fe II 5317,C,,,,,Fe II,5316.6,,,,5316.2412,,,,,,,,
Fe I 5324-28,B,,,,,Fe I,5324-28,Fe I,5324-28,,5326.8774,,,,,,,,
,,,,,,,,,,,5337.3242,,,,,,,,
Cr I 5346-48,C,,,,,Cr I,5346-48,,,,5347.1137,,,,,,,,
Fe I/Fe II 5363-65,C,,,,,Fe I/Fe II,5363-65,,,KP,5364.0386,,,,,,,,
Fe I 5367-71,C,,,,,Fe I,5367-71,,,KP,5369.4854,,,,,,,,
,,,,,,,,,,,5381.0607,,,,,,,,
Fe I 5397,B,,,,,Fe I,5397.1,Fe I,5393-97,,5396.0847,,,,,,,,
Fe I 5404-06,B,,,,,Fe I,5404-06,Fe I,5405,wide,5405.8876,,,,,,,,
Fe I 5424,B,,,,,Fe I,5424,Fe I,5424.07,,5422.9466,,,,,,,,
Fe I 5430-34,B,,,,,Fe I,5430-34,Fe I,5429-34,,5432.5213,,,,,,,,
Fe I 5445-46,B,,,,,Fe I,5445-46,Fe I,5446,,5445.7894,,,,,,,,
Fe I 5456,B,,,,,Fe I,5455.6,Fe I,5455.6,,5454.6126,,,,,,,,
Fe I 5463,B,,,,,Fe I,5463,Fe I,5463,,5462.8945,,,,,,,,
Ni I 5477,B,,,,,Fe I/Ni I,5476-77,Ni I,5476.9,,5476.3139,,,,,,,,
,,,,,,,,,,MK,5490.5,,,,,,,,
Fe i 5498,C,,,,,Fe I,5497.5,,,MK,5496,,,,,,,,
Fe I 5501,C,,,,,Fe I,5501.48,,,MK,5500,,,,,,,,
Fe I 5507,C,,,,,Fe I,5506.8,,,,5507.9953,,,,,,,,
,,,,,,,,,,ATP,5526.5884,,,,,,,,
,,,,,,,,,,ATP,5533.666,,,,,,,,
Fe I 5544,C,,,,,,,Fe I,5544,,5544.4347,,,,,,,,
Fe I 5555,B,,,,,Fe I,5555,Fe I,5555,M,5554.5,,,,,,,,
Fe I 5564-66,C,,,,,Fe I,5564-66,,,AW,5565.5371,,,,,,,,
Fe I 5570-73,B,,,,,Fe I,5570-73,Fe I,5572.84,AW,5571.2988,,,,,,,,
Fe I/Ca I 5587-90,B,,,,,Fe I/Ca I,5587-90,Fe I/Ca I,5587-90,,5588.1139,,,,,,,,
Fe I/Ca I 5598-5601,C,,,,,Fe I/Ca I,5598-5601,,,,5599.8936,,,,,,,,
Fe I 5615,B,,,,,Fe I,5615.5,Fe I,5615.16,TP,5615.4448,,,,,,,,
Fe I 5625,B,,,,,Fe I,5624.5,Fe I,5624.5,TP,5623.9292,,,,,,,,
,,,,,,,,,,wide,5639.4503,,,,,,,,
Fe I 5659,B,,,,,Fe I,5659,Fe I,5659,,5658.4749,,,,,,,,
,,,,,,,,,,M,5666.5,,,,,,,,
Na I 5683-88,C,,,,,Na I,5683-88,,,wide,5684.8792,,,,,,,,
,,,,,,,,,,MSK,5700.5,,,,,,,,
,,,,,,,,,,,5708.4948,,,,,,,,
,,,,,,,,,,,5729.137,,,,,,,,
,,,,,,,,,,,5752.6455,,,,,,,,
,,,,,,,,,,,5761.352,,,,,,,,
,,,,,,,,,,,5771.6387,,,,,,,,
,,,,,,,,,,,5782.2773,,,,,,,,
,,,,,,,,,,M,5797,,,,,,,,
,,,,,,,,,,,5805.7201,,,,,,,,
,,,,,,,,,,M,5815.5,,,,,,,,
,,,,,,,,,,,5835.0084,,,,,,,,
