Fe II 5076,C,,,,,,,,,Fe II,5075.83,,,,,KP,5074.2456,,,,,,,,,
Fe II/Cr II 5097-5101,C,,,,,,,,,Fe II/Cr II,5097-5101,,,Fe II,5101,,5099.4713,,,,,,,,,
Fe II/Ti II 5128-29,C,,,,,,,,,Fe II/Ti II,5128-29,,,,,,5127.7778,,,,,,,,,
,,,,,,,,,,,,,,,,,5140.06,,,,,,,,,
,,,,,,,,,,,,,,,,AW,5150.5254,,,,,,,,,
,,,,,,,,,,,,,,,,AW,5153.7549,,,,,,,,,
Fe II/Mg I 5167-73,B,,,,,Fe II/Mg I,5167-73,,,Fe II,5169.03,,,Mg I,5167-73,,5169.3377,,,,,,,,,
,,,,,,,,,,,,,,,,M,5179.16,,,,,,,,,
Mg I 5184,C,,,,,,,,,Mg I/Ti II,5184-86,,,Mg I,5184,,5185.1672,,,,,,,,,
,,,,,,,,,,,,,,,,AW,5192.8516,,,,,,,,,
Fe II 5198,B,,,,,,,,,Fe II,5197.57,,,Fe II,5197.58,AW,5196.437,,,,,,,,,
Fe II 5217,C,,,,,,,,,Fe II,5216.93,,,,,,5216.3571,,,,,,,,,
,,,,,,Fe II,5227,,,,,,,Ti II/Fe I,5227,,5227.341,,,,,,,,,
Fe II 5235,C,,,,,Fe II/Cr II,5233-37,,,Fe II,5234.62,,,Fe II,5235,,5235.5185,,,,,,,,,
,,,,,,,,,,,,,,,,,5249.3916,,,,,,,,,
Fe II 5265,C,,,,,,,,,Fe II,5264.8,,,,,,5265.1441,,,,,,,,,
Fe II 5276,B,,,,,,,,,Fe II,5275.99,,,Fe II,5276,,5276.2331,,,,,,,,,
,,,,,,,,,,,,,,,,,5298.5635,,,,,,,,,
,,,,,,,,,,,,,,,,,5307.1772,,,,,,,,,
Fe II 5317,B,,,,,,,,,Fe II,5316.7,,,Fe II,5317,,5316.7176,,,,,,,,,
,,,,,,,,,,,,,,,,,5328.2903,,,,,,,,,
,,,,,,,,,,,,,,,,,5338.3584,,,,,,,,,
,,,,,,,,,,,,,,,,,5346.9496,,,,,,,,,
,,,,,,,,,,,,,,,,M,5355.32,,,,,,,,,
Fe II 5363,B,,,,,Fe II,5363,,,Fe II,5362.86,,,,,KP,5364.4985,,,,,,,,,
Fe I 5370-71,C,,,,,Fe I,5370-71,,,,,,,,,KP,5370.7305,,,,,,,,,
,,,,,,,,,,,,,,,,,5397.4742,,,,,,,,,
,,,,,,,,,,,,,,,,,5445.8206,,,,,,,,,
Fe I 5456,C,,,,,Fe I,5455.6,,,,,,,,,,5456.742,,,,,,,,,
Fe II 5467,C,,,,,,,,,Fe II,5466.95,,,,,,5466.2528,,,,,,,,,
Cr II 5478,C,,,,,,,,,Cr II,5478.35,,,,,,5478.6805,,,,,,,,,
Cr II 5502-03,C,,,,,,,,,Cr II,5502-03,,,,,TSP,5504.5054,,,,,,,,,
Cr II 5509-11,C,,,,,,,,,Cr II,5509-11,,,,,TSP,5510.2021,,,,,,,,,
,,,,,,,,,,,,,,,,TSP,5530.5586,,,,,,,,,
Fe II 5535,C,,,,,,,,,Fe II,5534.86,,,,,TSP,5535.7163,,,,,,,,,
,,,,,,,,,,,,,,,,,5545.8459,,,,,,,,,
,,,,,,Cr II,5586.86,,,Fe I,5586.76,,,,,,5587.6155,,,,,,,,,
Na I 5890 (is),A,Na I,5890,,,,,,,,,,,Na I,5889,TP,5890.2231,,,,,,,,,
Na I 5896 (is),A,Na I,5896,,,,,,,,,,,Na I,5896,TP,5900.5283,,,,,,,,,
,,,,,,,,,,,,,,,,KP,5912.3862,,,,,,,,,
,,,,,,,,,,,,,,,,KP,5921.4946,,,,,,,,,
,,,,,,,,,,,,,,,,,5932.9321,,,,,,,,,
,,,,,,,,,,,,,,,,TSP,5943.2729,,,,,,,,,
,,,,,,,,,,,,,,,,TSP,5948.0366,,,,,,,,,
Telluric $H_2O$/Si II 5958,C,,,,,,,,,Telluric/Si II,5957.61,,,,,telluric?,5958.9541,,,,,,,,,
,,,,,,,,,,,,,,,,telluric?,5968.9242,,,,,,,,,
Telluric $H_2O$/Fe II 5991,C,,,,,,,,,Si II,5978.97,,,,,telluric?,5978.006,,,,,,,,,
,,,,,,,,,,Telluric/Fe II,5991.38,,,,,telluric?,5990.3133,,,,,,,,,
,,,,,,,,,,,,,,,,,6069.8293,,,,,,,,,
,,,,,,,,,,,,,,,,,6103.8397,,,,,,,,,
Fe II 6148-49,C,,,,,,,,,Fe II,6148-49,,,,,,6149.2912,,,,,,,,,
O I 6158,C,,,,,,,,,O I,6158.2,,,,,,6159.2369,,,,,,,,,
,,,,,,,,,,,,,,,,,6178.4165,,,,,,,,,
Fe II 6240,C,,,,,,,,,Fe II,6239.95,,,,,,6239.5842,,,,,,,,,
Fe II 6248,C,,,,,,,,,Fe II,6247.56,,,,,,6248.1786,,,,,,,,,
"Telluric $O_2$",A,,,,,,,,,,,,,,,telluric?,6279.5677,,,,,,,,,
,,,,,,,,,,,,,,,,,6318.5592,,,,,,,,,
Si II 6347,C,,,,,,,,,Si II,6347.1,,,,,,6348.2474,,,,,,,,,
Si II 6371,C,,,,,,,,,Si II,6371.36,,,,,,6371.6534,,,,,,,,,
Fe II 6239,C,,,,,,,,,Fe II,6383.75,,,,,,6383.8242,,,,,,,,,
Fe II 6417,C,,,,,,,,,Fe II,6416.9,,,,,,6417.5226,,,,,,,,,
Fe II 6433,C,,,,,,,,,Fe II,6432.65,,,,,,6433.22,,,,,,,,,
,,,,,,,,,,,,,,,,MK,6446.06,,,,,,,,,
Fe II/O I 6456,C,,,,,,,,,Fe II/O I,6456,,,,,,6458.4787,,,,,,,,,
,,,,,,,,,,,,,,,,telluric?,6476.5786,,,,,,,,,
,,,,,,,,,,,,,,,,telluric?,6483.8223,,,,,,,,,
,,,,,,,,,,,,,,,,telluric?,6493.1727,,,,,,,,,
,,,,,,,,,,,,,,,,telluric?,6517.3607,,,,,,,,,
,,,,,,,,,,,,,,,,telluric?,6535.57,,,,,,,,,
H$\alpha$,A,Halfa,6562.82,,,,,,,Halfa,6562.82,,,Halfa,6562,,6563.0071,,,,,,,,,
