short_label,rank,wavelength_A,amplitude,fwhm_A,tag,label_status,discard_reason,labels
Fe I/Ni I 5099-5100,A,5099.43,0.0697,4.87,other,confirmed,,"Ni I 5099.9, Fe I 5098.7, Fe I 5098.6"
Fe I 5107-10,A,5109.09,0.0448,5.82,other,confirmed,,"Fe I 5110.4, Fe I 5107.6, Fe I 5107.4"
Fe I/Ni I 5124-27,A,5125.72,0.0357,8.27,other,confirmed,,"Ni I 5126.8, Fe I 5125.1, Fe I 5127.4, Fe I 5123.7"
Ti II/Fe I/Ni I 5152-56,A,5154.04,0.0248,5.16,other,confirmed,,"Ti II 5154.1, Fe I 5151.9, Ni I 5155.8"
Mg I/Fe II/Fe I 5167-73,A,5169.81,0.1529,8.2,other,confirmed,,"Fe II 5169.0, Mg I 5167.3, Mg I 5172.7, Fe I 5167.5"
Cr I/Fe I 5204-09,A,5207.3,0.0594,6.87,other,confirmed,,"Cr I 5208.4, Cr I 5206.0, Fe I 5208.6, Cr I 5204.5"
Fe I 5215-17,A,5216.82,0.0439,4.62,other,confirmed,,"Fe I 5216.3, Fe I 5217.4, Fe I 5215.2"
Fe I/Ti II 5227,A,5227.52,0.087,5.62,other,confirmed,,"Fe I 5227.2, Ti II 5226.5, Fe I 5226.9, Fe I 5227.1"
Fe I/Fe II/Cr II 5233-37,A,5234.76,0.0462,5.33,other,confirmed,,"Fe II 5234.6, Fe I 5232.9, Fe I 5235.4, Cr II 5237.3"
Ca I/Fe I/Fe II/Cr I 5263-66,A,5264.5,0.0199,3.68,other,confirmed,,"Ca I 5265.6, Fe I 5263.3, Fe II 5264.8, Cr I 5264.1"
Fe I/Ca I 5267-70,A,5268.48,0.1299,12.31,other,confirmed,,"Fe I 5269.5, Fe I 5270.4, Fe I 5266.6, Ca I 5270.3"
Fe II/Cr II/Fe I/Cr I 5273-76,A,5275.82,0.0257,4.09,other,confirmed,,"Fe II 5276.0, Cr II 5275.0, Fe I 5273.2, Cr I 5275.8"
Fe I/Fe II 5282-84,A,5282.67,0.0589,7.66,other,confirmed,,"Fe I 5283.6, Fe I 5281.8, Fe II 5284.1"
Cr I/Fe I 5297-5302,A,5299.28,0.0506,7.26,other,confirmed,,"Cr I 5298.3, Fe I 5302.3, Cr I 5297.4, Cr I 5296.7"
Fe II/Cr II 5314-17,A,5317.11,0.0366,4.54,other,confirmed,,"Fe II 5316.6, Fe II 5316.8, Cr II 5313.6"
Fe I/Cr I 5328-29,A,5327.65,0.0656,5.89,other,confirmed,,"Fe I 5328.0, Fe I 5328.5, Cr I 5328.3"
Ti II/Cr II/Fe II 5335-38,A,5336.56,0.033,20.0,other,confirmed,,"Ti II 5336.8, Cr II 5334.9, Fe II 5337.7"
Fe I 5340-41,A,5339.99,0.0258,4.16,other,confirmed,,"Fe I 5341.0, Fe I 5339.9"
Cr I/Ca I 5346-49,A,5348.28,0.0192,10.45,other,confirmed,,"Cr I 5348.3, Ca I 5349.5, Cr I 5345.8"
Fe I 5367-71,A,5368.54,0.069,10.12,other,confirmed,,"Fe I 5367.5, Fe I 5370.0, Fe I 5371.5"
Fe I 5447,A,5446.86,0.0447,4.19,other,confirmed,,"Fe I 5446.9, Fe I 5446.6"
Ni I/Fe I 5476-77,A,5477.49,0.0582,6.9,other,confirmed,,"Ni I 5476.9, Fe I 5476.6, Fe I 5476.3"
Mg I/Sc II 5527-28,A,5528.94,0.0423,8.29,other,confirmed,,"Mg I 5528.4, Sc II 5526.8"
Ca I/Fe I 5587-90,A,5588.52,0.0356,4.64,other,confirmed,,"Ca I 5588.8, Fe I 5586.8, Ca I 5590.1"
Ca I/Fe I 5594-98,A,5595.81,0.0408,18.57,other,confirmed,,"Ca I 5594.5, Ca I 5598.5, Fe I 5594.6"
Ca I/Fe I 5601-03,A,5601.87,0.0271,4.45,other,confirmed,,"Fe I 5602.9, Ca I 5601.3, Ca I 5602.8"
Sc II/Fe I 5658-59,A,5659.37,0.0551,10.34,other,confirmed,,"Fe I 5658.8, Sc II 5657.9, Sc II 5658.4"
Na I/Sc II/Fe I 5684-88,A,5685.5,0.0311,6.57,other,confirmed,,"Na I 5688.2, Sc II 5684.2, Fe I 5686.5"
Fe I/Mg I/Si I/Ni I 5708-11,A,5709.68,0.0399,6.23,other,confirmed,,"Fe I 5709.4, Mg I 5711.1, Si I 5708.4, Ni I 5709.6"
Fe I/Si I/Ni I 5753-55,A,5753.36,0.023,5.36,other,confirmed,,"Fe I 5753.1, Si I 5754.2, Ni I 5754.7"
Ca I/Ba II/Fe I 5854-60,A,5856.95,0.0267,7.51,other,confirmed,,"Ca I 5857.4, Ba II 5853.7, Fe I 5859.6"
Na I 5890-96,A,5892.92,0.0753,9.54,other,confirmed,,"Na I 5889.9, Na I 5895.9"
Fe I/Ca I 6102-03,A,6102.66,0.0281,3.45,other,confirmed,,"Ca I 6102.7, Fe I 6102.2, Fe I 6103.2"
Ca I 6161-64,A,6162.89,0.0261,5.91,other,confirmed,,"Ca I 6162.2, Ca I 6163.8, Ca I 6161.3"
,A,6279.15,0.0568,4.85,other,uncertain_discarded,confirm frac too low (0.17),
Fe I 6298-6302,A,6300.86,0.0247,4.98,other,confirmed,,"Fe I 6301.5, Fe I 6302.5, Fe I 6297.8"
Fe I/Ni I/Ca I 6315-18,A,6317.83,0.0267,4.67,other,confirmed,,"Fe I 6318.0, Ni I 6314.7, Ca I 6318.1"
Ba II/Fe I/Ca I 6494-97,A,6495.5,0.077,5.53,other,confirmed,,"Ba II 6496.9, Fe I 6495.0, Ca I 6493.8"
Fe II/Fe I 6516-18,A,6516.78,0.0353,3.85,other,confirmed,,"Fe II 6516.1, Fe I 6518.4"
Hα  6563,A,6562.78,0.3676,8.61,Balmer,confirmed,,"H I 6562.9, H I 6562.7"
