wavelength_A,amplitude,fwhm_A,profile,source,balmer_name,tag,label_status,n_candidate_lines,labels,short_label
6347.26,0.0338,6.23,Gaussian,single,,other,confirmed,8,Si II 6347.1,Si II 6347
6361.1,0.0044,3.35,Gaussian,single,,other,uncertain_discarded,5,,
6371.63,0.0283,5.18,Gaussian,single,,other,confirmed,9,Si II 6371.4,Si II 6371
6383.58,0.0025,3.49,Gaussian,single,,other,confirmed,4,Fe II 6383.7,Fe II 6384
6418.73,0.0057,4.28,Gaussian,single,,other,confirmed,9,Fe II 6416.9,Fe II 6417
6433.59,0.0057,2.91,Gaussian,single,,other,confirmed,3,Fe II 6432.7,Fe II 6433
6462.43,0.0253,20.0,Gaussian,deblended,,other,uncertain_discarded,27,,
6494.96,0.0394,6.02,Gaussian,deblended,,other,uncertain_discarded,15,,
6517.24,0.1074,7.87,Gaussian,deblended,,other,uncertain_discarded,8,,
6537.06,0.0302,18.84,Gaussian,deblended,,other,uncertain_discarded,12,,
6547.66,0.0533,9.46,Gaussian,deblended,,other,uncertain_discarded,9,,
6562.71,0.4578,19.49,Voigt,deblended,Hα,Balmer,confirmed,17,"H I 6562.9, H I 6562.7, H I 6562.8",H I 6563
6581.95,0.0378,20.0,Gaussian,deblended,,other,uncertain_discarded,21,,
6678.17,0.0046,3.5,Gaussian,single,,other,confirmed,6,Fe I 6678.0,Fe I 6678
6726.67,0.0026,2.47,Gaussian,single,,other,uncertain_discarded,1,,
