Na I 5889,A,Na I ,5889,,,Na I,5889,,,Na I,5889,AW,5889.791,,,,,,,,
Na I 5896,A,Na I ,5896,,,Na I,5896,,,Na I,5896,AW,5895.7676,,,,,,,,
,,,,,,,,,,,,,5917.3953,,,,,,,,
,,,,,,,,,,,,,5942.863,,,,,,,,
,,,,,,,,,,,,M,5957,,,,,,,,
TiO 5968,C,,,,,,,,,TiO,5968,,5966.4504,,,,,,,,
,,,,,,,,,,,,,5978.3232,,,,,,,,
,,,,,,,,,,,,,5984.0117,,,,,,,,
,,,,,,,,,,,,TP,6005.3228,,,,,,,,
,,,,,,,,,,,,TP,6016.9429,,,,,,,,
,,,,,,,,,,,,M,6039,,,,,,,,
,,,,,,,,,,,,TSP,6058.4531,,,,,,,,
,,,,,,,,,,,,TSP,6064.5693,,,,,,,,
,,,,,,,,,,,,TP,6082.4165,,,,,,,,
,,,,,,,,,,,,TP,6090.5718,,,,,,,,
Ca 6103,C,,,,,,,,,Ca I,6103,,6103.7153,,,,,,,,
Ca I 6122,C,,,,,,,,,Ca I,6122,AW,6121.1191,,,,,,,,
,,,,,,,,,,,,AW,6124.7705,,,,,,,,
Fe I 6137,C,,,,,,,,,Fe I,6137,,6136.8703,,,,,,,,
,,,,,,,,,,,,M,6151.5,,,,,,,,
TiO 6159/Ca I 6162,C,,,,,,,,,Ca I,6162,PK,6162.8369,,,,,,,,
Ca I 6169,C,,,,,,,,,Ca I,6169,PK,6169.1177,,,,,,,,
,,,,,,,,,,,,PK,6190.6475,,,,,,,,
,,,,,,,,,,,,PK,6198.6387,,,,,,,,
,,,,,,,,,,,,M,6217,,,,,,,,
,,,,,,,,,,,,M,6224,,,,,,,,
,,,,,,,,,,,,M,6231,,,,,,,,
V I/Fe I 6240-43,C,,,,,,,,,V I/Fe I,6240-43,,6241.5233,,,,,,,,
Ti I 6258-61,C,,,,,,,,,Ti I,6258-61,,6257.1143,,,,,,,,
TiO 6268,C,,,,,,,,,TiO,6268,M,6267.5,,,,,,,,
,,,,,,,,,,,,,6278.2734,,,,,,,,
,,,,,,,,,,,,,6296.3148,,,,,,,,
,,,,,,,,,,,,,6315.7285,,,,,,,,
,,,,,,,,,,,,,6336.3498,,,,,,,,
,,,,,,,,,,,,,6344.5861,,,,,,,,
TiO 6358,C,,,,,,,,,TiO,6358,,6360.2285,,,,,,,,
,,,,,,,,,,,,,6379.8607,,,,,,,,
CaH 6390,C,,,,,,,,,CaH,6390,,6392.9861,,,,,,,,
,,,,,,,,,,,,MWK,6400.5,,,,,,,,
,,,,,,,,,,,,TP,6413.479,,,,,,,,
,,,,,,,,,,,,TP,6420.2822,,,,,,,,
,,,,,,,,,,,,,6431.3076,,,,,,,,
Co I 6450,C,,,,,,,,,Co I,6450,,6450.7746,,,,,,,,
,,,,,,,,,,,,,6463.9557,,,,,,,,
,,,,,,,,,,,,M,6475.5,,,,,,,,
,,,,,,,,,,,,,6483.1652,,,,,,,,
Ba I/Fe I/Ca I 6497,C,,,,,,,,,Ba I/Fe I/Ca I,6497,,6495.8408,,,,,,,,
,,,,,,,,,,,,,6516.656,,,,,,,,
,,,,,,,,,,,,,6532.2389,,,,,,,,
,,,,,,,,,,,,M,6546.5,,,,,,,,
,,,,,,,,,,,,,6555.0951,,,,,,,,
H$\alpha$,A,Halfa,6563,,,,,,,Halfa,6562.82,,6562.9549,,,,,,,,
TiO 6569,C,,,,,,,,,TiO,6569,,6573.5215,,,,,,,,
,,,,,,,,,,,,MK,6582.5,,,,,,,,
,,,,,,,,,,,,,6594.8059,,,,,,,,
,,,,,,,,,,,,,6608.0805,,,,,,,,
,,,,,,,,,,,,TP,6626.2285,,,,,,,,
,,,,,,,,,,,,TP,6632.5752,,,,,,,,
,,,,,,,,,,,,MK,6644.5,,,,,,,,
TiO 6651,C,,,,,,,,,TiO,6651,TP,6653.626,,,,,,,,
,,,,,,,,,,,,TP,6663.9189,,,,,,,,
TiO 6681,C,,,,,,,,,TiO,6681,,6680.4439,,,,,,,,
,,,,,,,,,,,,,6695.9436,,,,,,,,
TiO 6715,C,,,,,,,,,TiO,6715,PK,6717.3477,,,,,,,,
,,,,,,,,,,,,PK,6723.1353,,,,,,,,
,,,,,,,,,,,,KP,6744.9707,,,,,,,,
CaH 6750,C,,,,,,,,,CaH,6750,KP,6751.3354,,,,,,,,
,,,,,,,,,,,,,6767.1383,,,,,,,,
TiO 6782,C,,,,,,,,,TiO,6782,PK,6785.001,,,,,,,,
,,,,,,,,,,,,PK,6791.4585,,,,,,,,
